FECHA,ANNO,MES,DIA,ESTADO MP10,"ESTADO MP2,5"
2017-05-21,2017,5,21,ALERTA ,ALERTA
2017-05-22,2017,5,22,ALERTA,PREEMERGENCIA
2017-05-23,2017,5,23,REGULAR ,REGULAR
2017-05-24,2017,5,24,REGULAR ,REGULAR
2017-05-25,2017,5,25,REGULAR ,REGULAR
2017-05-26,2017,5,26,REGULAR ,REGULAR
2017-05-27,2017,5,27,ALERTA ,ALERTA
2017-05-28,2017,5,28,ALERTA ,ALERTA
2017-05-29,2017,5,29,REGULAR ,REGULAR
2017-05-30,2017,5,30,REGULAR ,REGULAR
2017-05-31,2017,5,31,ALERTA ,ALERTA
2017-06-01,2017,6,1,ALERTA ,ALERTA
2017-06-02,2017,6,2,ALERTA ,ALERTA
2017-06-03,2017,6,3,REGULAR ,REGULAR
2017-06-04,2017,6,4,REGULAR ,REGULAR
2017-06-05,2017,6,5,ALERTA ,ALERTA
2017-06-06,2017,6,6,ALERTA ,ALERTA
2017-06-07,2017,6,7,ALERTA ,ALERTA
2017-06-08,2017,6,8,REGULAR ,REGULAR
2017-06-09,2017,6,9,REGULAR ,REGULAR
2017-06-10,2017,6,10,ALERTA ,ALERTA
2017-06-11,2017,6,11,ALERTA ,ALERTA
2017-06-12,2017,6,12,ALERTA ,ALERTA
2017-06-13,2017,6,13,ALERTA ,ALERTA
2017-06-14,2017,6,14,ALERTA ,ALERTA
2017-06-15,2017,6,15,ALERTA ,ALERTA
2017-06-16,2017,6,16,BUENO ,BUENO
2017-06-17,2017,6,17,BUENO ,BUENO
2017-06-18,2017,6,18,ALERTA ,ALERTA
2017-06-19,2017,6,19,ALERTA ,ALERTA
2017-06-20,2017,6,20,ALERTA ,ALERTA
2017-06-22,2017,6,22,REGULAR ,REGULAR
2017-06-23,2017,6,23,BUENO ,BUENO
2017-06-24,2017,6,24,BUENO ,BUENO
2017-06-25,2017,6,25,REGULAR ,REGULAR
2017-06-26,2017,6,26,BUENO ,BUENO
2017-06-27,2017,6,27,REGULAR ,REGULAR
2017-06-28,2017,6,28,REGULAR ,REGULAR
2017-06-29,2017,6,29,ALERTA ,ALERTA
2017-06-30,2017,6,30,REGULAR ,REGULAR
2017-07-01,2017,7,1,ALERTA ,ALERTA
2017-07-02,2017,7,2,ALERTA ,ALERTA
2017-07-03,2017,7,3,ALERTA,PREEMERGENCIA
2017-07-04,2017,7,4,BUENO ,BUENO
2017-07-05,2017,7,5,REGULAR ,REGULAR
2017-07-06,2017,7,6,REGULAR ,REGULAR
2017-07-07,2017,7,7,ALERTA ,ALERTA
2017-07-08,2017,7,8,ALERTA ,ALERTA
2017-07-09,2017,7,9,ALERTA ,ALERTA
2017-07-10,2017,7,10,ALERTA,PREEMERGENCIA
2017-07-11,2017,7,11,ALERTA ,ALERTA
2017-07-12,2017,7,12,ALERTA ,ALERTA
2017-07-13,2017,7,13,REGULAR ,REGULAR
2017-07-14,2017,7,14,REGULAR ,REGULAR
2017-07-15,2017,7,15,REGULAR ,REGULAR
2017-07-16,2017,7,16,REGULAR ,REGULAR
2017-07-17,2017,7,17,ALERTA ,ALERTA
2017-07-18,2017,7,18,ALERTA ,ALERTA
2017-07-19,2017,7,19,ALERTA ,ALERTA
2017-07-20,2017,7,20,ALERTA ,ALERTA
2017-07-21,2017,7,21,ALERTA ,ALERTA
2017-07-22,2017,7,22,ALERTA,ALERTA
2017-07-23,2017,7,23,BUENO ,BUENO
2017-07-24,2017,7,24,REGULAR ,REGULAR
2017-07-25,2017,7,25,REGULAR ,REGULAR
2017-07-26,2017,7,26,ALERTA ,ALERTA
2017-07-27,2017,7,27,REGULAR ,REGULAR
2017-07-28,2017,7,28,REGULAR ,REGULAR
2017-07-29,2017,7,29,REGULAR ,REGULAR
2017-07-30,2017,7,30,ALERTA ,ALERTA
2017-07-31,2017,7,31,ALERTA ,ALERTA
2017-08-01,2017,8,1,ALERTA ,ALERTA
2017-08-02,2017,8,2,REGULAR ,REGULAR
2017-08-03,2017,8,3,ALERTA ,ALERTA
2017-08-04,2017,8,4,REGULAR ,REGULAR
2017-08-05,2017,8,5,REGULAR ,REGULAR
2017-08-06,2017,8,6,REGULAR,REGULAR
2017-08-07,2017,8,7,ALERTA,ALERTA
2017-08-08,2017,8,8,REGULAR ,REGULAR
2018-05-03,2018,5,3,REGULAR ,REGULAR
2018-05-04,2018,5,4,REGULAR ,REGULAR
2018-05-05,2018,5,5,REGULAR ,REGULAR
2018-05-06,2018,5,6,REGULAR ,REGULAR
2018-05-07,2018,5,7,BUENO ,BUENO
2018-05-08,2018,5,8,BUENO ,BUENO
2018-05-09,2018,5,9,BUENO ,BUENO
2018-05-10,2018,5,10,BUENO ,BUENO
2018-05-11,2018,5,11,REGULAR ,REGULAR
2018-05-12,2018,5,12,ALERTA ,ALERTA
2018-05-14,2018,5,14,REGULAR ,REGULAR
2018-05-15,2018,5,15,REGULAR,ALERTA
2018-05-16,2018,5,16,REGULAR,ALERTA
2018-05-17,2018,5,17,REGULAR ,REGULAR
2018-05-18,2018,5,18,REGULAR ,REGULAR
2018-05-19,2018,5,19,REGULAR,ALERTA
2018-05-20,2018,5,20,REGULAR,REGULAR
2018-05-21,2018,5,21,REGULAR,REGULAR
2018-05-22,2018,5,22,REGULAR,REGULAR
2018-05-23,2018,5,23,REGULAR ,REGULAR
2018-05-24,2018,5,24,REGULAR ,ALERTA
2018-05-25,2018,5,25,ALERTA ,ALERTA
2018-05-26,2018,5,26,REGULAR,ALERTA
2018-05-27,2018,5,27,REGULAR,ALERTA
2018-05-28,2018,5,28,REGULAR,ALERTA
2018-05-29,2018,5,29,REGULAR,REGULAR
2018-05-30,2018,5,30,BUENO,REGULAR
2018-05-31,2018,5,31,BUENO,REGULAR
2018-06-01,2018,6,1,BUENO,REGULAR
2018-06-02,2018,6,2,REGULAR,ALERTA
2018-06-03,2018,6,3,REGULAR,PREEMERGENCIA
2018-06-04,2018,6,4,BUENO,ALERTA
2018-06-05,2018,6,5,REGULAR,ALERTA
2018-06-06,2018,6,6,REGULAR,ALERTA
2018-06-07,2018,6,7,REGULAR,REGULAR
2018-06-08,2018,6,8,REGULAR,REGULAR
2018-06-09,2018,6,9,REGULAR,ALERTA
2018-06-10,2018,6,10,BUENO,REGULAR
2018-06-11,2018,6,11,BUENO,REGULAR
2018-06-12,2018,6,12,REGULAR,REGULAR
2018-06-13,2018,6,13,REGULAR,REGULAR
2018-06-14,2018,6,14,REGULAR,ALERTA
